keyword,tweet,username,creation date
Climate change,"@Mariebe10098426 @deejayhome @davidkurten Why do all of those who deny climate change also support brexit? SMH. Feel free to come back when you can demonstrate what % of trees in the world are being cut down to make batteries, otherwise I refuse to debate with somebody who's bringing a spoon to knife fight.",CB,2019-10-07 08:43:02
Climate change,"@nvisionthing_au @slsandpet @TimWilsonMP It's okay to march in a protest which has had several events of violence on both sides but we can't have a non violent protest over climate change, workplace law reforms or mining, you hypocrite.",John Herring,2019-10-07 08:43:00
Climate change,Prof. Don Easterbrook shows how CO2 can’t cause global warming. (6 mins). https://t.co/Q1Zv3UJzoS,AJ,2019-10-07 08:43:00
Climate change,JUST IN: London police say they have arrested 21 people taking part in Extinction Rebellion climate change protests https://t.co/8Qzh9ZgvXi,Reuters UK,2019-10-07 08:42:58
Climate change,"Climate activists don't believe in a technological magic bullet. Instead they propose immediate consumption cuts: 

🚗Traveling less
🥩Not eating meat
👚Repairing clothes
💧Switching off AC units

Politically, that’s a tough sell https://t.co/HJatict9e7 @bopinion",Karim RAFFA,2019-10-07 08:42:54
Climate change,"#Buharimeter Highlights: Last week,   Mohammed Sanusi Ibrahim and Ahmad Salim Shehu, analyzed  'Government Commitments to Environment and Climate Change' aired on Albarka Radio, 97.5 fm Bauchi. https://t.co/KYsTaV4pFb",Tracking @MBuhari,2019-10-07 08:42:52
Climate change,"@LBC I don't remember hearing MLK or Ghandi supporters knocking over old people and calling anyone who's not a supporter a NAZI. No thanks,  @ExtinctionR is a radical George Soros @OpenSociety funded anti-Democracy organisation using debunked climate change theory as their basis. https://t.co/VD6YYCgrji",hhowell-esq,2019-10-07 08:42:48
Climate change,"@MikeOkuda What a fucking disaster, thank you America for giving us 4 years of corruption, cruelty, and global warming denial-ism. Thanks for giving us 4 less years to stop global climate catastrophe.",frankie,2019-10-07 08:42:47
Climate change,@ewarren @USATODAY @realDonaldTrump DEMS SHOULD SPEAK 2 MOTHER NATURE AND TELL HER SHE NEEDS 2 CHANGE THE CLIMATE😎,Delia Hernandez,2019-10-07 08:42:35
Climate change,"@thismorning Think about those on the front line on climate change rather than your stomachs show some decency please, world leaders of small nations those who did not screw the environment are losing everything and you think thats a joke? Add in the idiot cruelty , its repulsive get educated https://t.co/xvsCIPqsnP",Yvonne Hooper,2019-10-07 08:42:24
